MajorLineage,Genus,Species,Pathway,LT (um),MA (um^2),IAS (%),Reference,Tissue
Agavoideae,Agave,palmeri,CAM,1223.10133333333,2728.6203,5.55719864121982,Heyduk et al. (2016),leaf
Agavoideae,Agave,palmeri,CAM,,3464.3714,14.2637577242775,Heyduk et al. (2016),leaf
Agavoideae,Agave,palmeri,CAM,,2312.555,15.9291873864573,Heyduk et al. (2016),leaf
Agavoideae,Agave,schotti,CAM,,2078.251,8.81137115807747,Heyduk et al. (2016),leaf
Agavoideae,Agave,schotti,CAM,1686.05766666667,2721.6304,8.61677971705097,Heyduk et al. (2016),leaf
Agavoideae,Agave,schotti,CAM,944.793333333333,2295.7767,5.1743486852596,Heyduk et al. (2016),leaf
Agavoideae,Beschorneria,yuccoides,C3+CAM,691.279666666667,1100.9837,15.4191884866492,Heyduk et al. (2016),leaf
Agavoideae,Beschorneria,yuccoides,C3+CAM,1519.297,578.1214,4.00708119789524,Heyduk et al. (2016),leaf
Agavoideae,Beschorneria,yuccoides,C3+CAM,779.649,778.9557,16.4763975177624,Heyduk et al. (2016),leaf
Agavoideae,Beschorneria,yuccoides,C3+CAM,570.832333333333,736.7359,15.399915382264,Heyduk et al. (2016),leaf
Agavoideae,Beschorneria,yuccoides,C3+CAM,406.225666666667,886.5339,14.2977368594725,Heyduk et al. (2016),leaf
Agavoideae,Beschorneria,yuccoides,C3+CAM,,935.8228,6.6962164403032,Heyduk et al. (2016),leaf
Agavoideae,Chlorophytum,rhizopendulum,C3,239.191666666667,307.4816,35.9755306097411,Heyduk et al. (2016),leaf
Agavoideae,Chlorophytum,rhizopendulum,C3,174.728,282.8762,35.2056489694674,Heyduk et al. (2016),leaf
Agavoideae,Chlorophytum,rhizopendulum,C3,271.929333333333,335.014,28.0338836271502,Heyduk et al. (2016),leaf
Agavoideae,Chlorophytum,rhizopendulum,C3,238.176333333333,292.262,31.9035271570356,Heyduk et al. (2016),leaf
Agavoideae,Chlorophytum,rhizopendulum,C3,233.448666666667,294.8354,35.9186430637344,Heyduk et al. (2016),leaf
Agavoideae,Hesperaloe,funifera,CAM,1052.544,703.6158,4.15871084276388,Heyduk et al. (2016),leaf
Agavoideae,Hesperaloe,funifera,CAM,1540.343,940.8798,3.91343058751025,Heyduk et al. (2016),leaf
Agavoideae,Hesperaloe,funifera,CAM,1254.16666666667,894.0831,4.70043038290395,Heyduk et al. (2016),leaf
Agavoideae,Hesperaloe,parviflora,CAM,,1059.281,,Heyduk et al. (2016),leaf
Agavoideae,Hesperaloe,parviflora,CAM,1741.933,767.9904,7.56055019497649,Heyduk et al. (2016),leaf
Agavoideae,Hosta,ventricosa,C3,256.035666666667,554.5808,24.265378277296,Heyduk et al. (2016),leaf
Agavoideae,Hosta,ventricosa,C3,336.387666666667,757.955,22.1235642799261,Heyduk et al. (2016),leaf
Agavoideae,Hosta,ventricosa,C3,326.538666666667,636.5478,32.2899660211787,Heyduk et al. (2016),leaf
Agavoideae,Hosta,ventricosa,C3,228.442666666667,705.9154,22.7564273168109,Heyduk et al. (2016),leaf
Agavoideae,Hosta,ventricosa,C3,265.358333333333,673.674,28.4929740860936,Heyduk et al. (2016),leaf
Agavoideae,Hosta,ventricosa,C3,299.387666666667,607.4672,30.1768753067769,Heyduk et al. (2016),leaf
Agavoideae,Mafreda,scabra,CAM,634.591333333333,1570.3332,5.78545383488927,Heyduk et al. (2016),leaf
Agavoideae,Mafreda,virginica,CAM,1701.706,690.091925,8.3805986583688,Heyduk et al. (2016),leaf
Agavoideae,Mafreda,virginica,CAM,,577.1294,13.8907852983932,Heyduk et al. (2016),leaf
Agavoideae,Mafreda,virginica,CAM,1410.58766666667,754.4707,8.08270227321998,Heyduk et al. (2016),leaf
Agavoideae,Polianthes,tuberosa,C3+CAM,323.054666666667,1218.967,10.5774240278321,Heyduk et al. (2016),leaf
Agavoideae,Polianthes,tuberosa,C3+CAM,556.353,1057.6122,7.6425340185261,Heyduk et al. (2016),leaf
Agavoideae,Polianthes,tuberosa,C3+CAM,368.592333333333,1122.9534,6.42829079659378,Heyduk et al. (2016),leaf
Agavoideae,Polianthes,tuberosa,C3+CAM,394.809333333333,1034.3375,8.64939050526228,Heyduk et al. (2016),leaf
Agavoideae,Polianthes,tuberosa,C3+CAM,443.992333333333,1061.1753,12.8153632193906,Heyduk et al. (2016),leaf
Agavoideae,Yucca,aloifolia,CAM,1123.816,2005.8052,0.105979230916518,Heyduk et al. (2016),leaf
Agavoideae,Yucca,aloifolia,CAM,1573.2585,1425.6348,0.156913555464677,Heyduk et al. (2016),leaf
Agavoideae,Yucca,aloifolia,CAM,1282.1535,1524.6867,0.134734141195397,Heyduk et al. (2016),leaf
Agavoideae,Yucca,angustissima,C3,2216.16933333333,574.625,3.4821931759441,Heyduk et al. (2016),leaf
Agavoideae,Yucca,angustissima,C3,573.187333333333,615.4714,6.73889365163066,Heyduk et al. (2016),leaf
Agavoideae,Yucca,brevifolia,CAM,753.256,544.1481,2.17443930353091,Heyduk et al. (2016),leaf
Agavoideae,Yucca,brevifolia,CAM,1489.753,638.1173,3.15815598770374,Heyduk et al. (2016),leaf